"city","year","severe","gdp","gdp_rate","invest","pop","green","passenger","con_area","car","power","ind_SO2","ind_smoke","ind_control","gas_control","mean_temp","rain","humid","wind_speed","pressure","sun","heating","coast","long","lat","height"
"沈阳",2015,8,7272.3051,3.4,5326,829.1,41.78,15554,83.4131,134.6,307.2,97839,84871,4.819621186,3.627399103,9.008333333,573.2,61.83333333,2.175,1010.616667,2412.8,1,0,123.516666666667,41.7333333333333,49
"沈阳",2016,0,5546.4498,-5.6,1631.6,829.2,36.03,15244,70.5807,156.7,325.6,37530,30130,4.836679543,4.487640813,8.825,968,62.83333333,2.110833333,1010.525,2422.1,1,0,123.516666666667,41.7333333333333,49
"沈阳",2017,0,5865,3.5,1484,829.4,38.88,14780,69.6708,179.3,338.6,25904,20489,3.26884775,2.527744237,9.333333333,463.8,58.75,2.085,1010.315,2556.3,1,0,123.516666666667,41.7333333333333,49
"大连",2014,1,7655.6,5.8,6773.6333,698.4,44.84,10354,105.434,94.2315,310.4773,94370,72465,10.21581761,8.718210838,12.35,436.5,61.33333333,3.083333333,1005.991667,2694.4,1,1,121.633333333333,38.9,91.5
"大连",2015,3,7731.6363,4.2,4559.2792,698.7,44.93,7730,82.354,94.2,307.9076,95796,54112,5.124036685,3.856511821,12.09166667,581.6,62.5,2.95,1005.958333,2674,1,1,121.633333333333,38.9,91.5
"大连",2016,0,6810.1998,6.5,1436.3557,698.7,43.14,7647,44.962,117.5097,321.0706,51021,32710,5.938709489,5.510142824,12.025,380.2,60.91666667,2.873333333,1005.95,2665.7,1,1,121.633333333333,38.9,91.5
"大连",2017,0,6989.8246,7.1,1652.8,698.7,46.56,7564,37.456,130.158446,338.0471,34282,28931,3.895766823,3.012530068,12.44166667,521.7,57.58333333,2.8525,1005.93,2684,1,1,121.633333333333,38.9,91.5
"长春",2014,5,5342.4,6.6,3924.5,754.5,38.84,8883,60.695298,96.5955,188.5731,56210,70944,6.347494845,5.92174824,7.141666667,446,57.16666667,2.483333333,987.35,2674.5,1,0,125.216666666667,43.9,236.8
"长春",2015,8,5592.2,6.5,4400,753.8,38.76,8594,61.47753,111.1,192.789,52369,80781,4.811561864,3.380022797,7.175,530.5,60.16666667,2.65,987.1083333,2695.7,1,0,125.216666666667,43.9,236.8
"长春",2016,0,5986.4,7.8,4659,753.4,38.53,7113,65.222178,128.1,192.9273,21893,24451,3.97019111,1.944583401,6.633333333,890.8,63.33333333,2.744166667,987.1416667,2711.2,1,0,125.216666666667,43.9,236.8
"长春",2017,2,6495,8,5194.8,749.8,41.36,6592,66.87305,143.3,224.7695,14300,18268,3.94197402,3.68946725,6.975,694.3,59.58333333,2.671666667,986.6916667,2801.6,1,0,125.216666666667,43.9,236.8
"哈尔滨",2014,14,5340.1,6.9,4176,987.3,35.5,9228,10.047,80.8305,200.38,60028,130401,6.320325705,5.716699093,5.066666667,415.8,62.58333333,2.541666667,1000.75,2055.9,1,0,126.766666666667,45.75,142.3
"哈尔滨",2015,11,5751.2,7.1,4595.7,961.4,35.41,8316,54.571,116.6,204.8,49346,67433,7.358829781,5.147367981,5.616666667,420.1,64.16666667,2.725,1000.333333,2090.7,1,0,126.766666666667,45.75,142.3
"哈尔滨",2016,1,6101.6,7.3,5040.1,962,33.6,7448,59.984,145.862676,215.3,26217,21781,6.900248211,6.107116233,4.95,537.8,69.16666667,2.805,999.9,2180.8,1,0,126.766666666667,45.75,142.3
"哈尔滨",2017,8,6257.2,6.7,5395.5,1092.9,33.74,6784,44.8215,165.7,221.8,19168,34857,3.589217182,2.715599674,5.133333333,480.8,63.66666667,3.065833333,999.61,2277.2,1,0,126.766666666667,45.75,142.3
"上海",2014,0,24068.2,7.1,6013,2426,38.43,3754,180.1006,183.304,1369.03,155360,131433,17.8,9.8,16.975,1295.3,73.33333333,2.633333333,1016.233333,1612.6,0,1,121.45,31.4,5.5
"上海",2015,0,25659.18,7,6349,2415,38.5,3766,178.8594,208.65,1405.55,104900,111400,21.2,7.4,17.00833333,1648.8,73.75,2.491666667,1016.391667,1495.6,0,1,121.45,31.4,5.5
"上海",2016,0,28183.51,6.8,6755.88,2420,38.6,3402,177.3325,242.6626,1486.02,67376,72782,51.9,33.2,17.63333333,1596.1,74.58333333,2.535833333,1016.183333,1668.6,0,1,121.45,31.4,5.5
"上海",2017,0,30632.99,6.9,7246.6,2418,39.1,3420,411.975,274.38,526.77,12651,30262,44.824,13.3451,17.74166667,1388.8,70.58333333,2.490833333,1016.763333,1809.2,0,1,121.45,31.4,5.5
"南京",2014,2,8956.05,10.1,5460.03,821.61,44.14,10596,115.7014,148.55,470.4973,103949,96177,6.673523376,5.27001949,16.44166667,1091.1,74,2.6,1012.683333,1863.8,0,0,118.8,32,7.1
"南京",2015,0,9861.56,9.3,5484.47,823.59,44.47,9166,115.1589,172.06,495.1753,101021,84128,8.748156023,5.639888368,16.40833333,1765.6,73.33333333,2.508333333,1012.791667,1848.2,0,0,118.8,32,7.1
"南京",2016,0,10662.28,8,5533.56,827,44.75,8490,192.2882,192.71,524.7863,28639,48592,10.30567605,6.461713996,11.975,1807.7,72.91666667,2.541666667,1012.55,1856.1,0,0,118.8,32,7.1
"南京",2017,1,11715.1,8.1,6362.21,833.5,44.9,8404,95.0645,201.56,556.9607,15416,40233,6.11199226,3.136700529,17.03333333,1255.1,71.91666667,2.439166667,1012.889167,2037.4,0,0,118.8,32,7.1
"杭州",2014,0,9206.1634,8.2,4952.701,889.2,40.57,17431,208.7758,179.9442,640.19,80349,70346,15.4914042,9.487339261,17.53333333,1359.9,73.16666667,2.133333333,1011.45,1407.2,0,0,120.166666666667,30.2333333333333,41.7
"杭州",2015,0,10050.2079,10.2,5556.32,901.8,40.43,16591,216.8634,184.9,646.38,63814,49176,13.73258066,8.764479804,17.48333333,2131.9,75,2.091666667,1011.65,1315.8,0,0,120.166666666667,30.2333333333333,41.7
"杭州",2016,0,11313.7223,9.6,5842.42,918.8,40.7,12282,178.9618,192.2663,678.29,39499,20414,14.41410538,8.835224063,18.15833333,1797.3,75.25,2.216666667,1011.383333,1522.4,0,0,120.166666666667,30.2333333333333,41.7
"杭州",2017,0,12603.3629,8.1,5856.65,946.8,39.96,13019,188.0744,199.9,738.03,26497,16343,8.983843666,5.850304237,18.25,1442,71.08333333,2.285833333,1011.969167,1818.4,0,0,120.166666666667,30.2333333333333,41.7
"宁波",2014,0,7610.28,7.6,3989.4626,781.1,38.28,12144,157.7337,123.7026,576.78,118102,30577,12.80597774,7.842714179,17,1655.9,80.33333333,2.133333333,1012.133333,1650,0,1,122.1,30.0333333333333,35.7
"宁波",2015,0,8003.61,8,4506.58,782.5,38.31,9430,144.866,145.1,585.07,101980,28128,10.93611405,6.979704191,17.10833333,1841.2,80.75,1.991666667,1012.291667,1422,0,1,122.1,30.0333333333333,35.7
"宁波",2016,0,8686.49,7.1,4961.3931,787.5,39.8,4813,47.662907,166.1613,646.5408,41928,24009,11.06691316,6.783539797,17.79166667,1806.0994,82.18333333,2.016666667,1012.033333,1600.6,0,1,122.1,30.0333333333333,35.7
"宁波",2017,0,9842.06,7.8,5009.6,800.5,39.85,4303,124.8286,185.3953,709.23,25535,19722,7.01555046,4.568546171,17.76583333,1394.6996,79.70083333,2.078333333,1012.660833,1906.8,0,1,122.1,30.0333333333333,35.7
"合肥",2014,6,5180.56,10,5096.41,770,45.2,16841,101.48,77.1032,226.1427,42364,106284,4.373300845,3.727245039,16.5,1180.2,75.83333333,1.925,1013.583333,1539.4,0,0,117.3,31.7833333333333,27
"合肥",2015,0,5660.27,10.5,5851.9,779,42.93,11211,99.982,96.4331,243.257,40829,85036,4.604223237,3.395293114,16.7,1258.2,75.58333333,1.933333333,1013.716667,1533.5,0,0,117.3,31.7833333333333,27
"合肥",2016,0,6274.38,9.8,6501.17,787,41.78,10127,104.929,121.1845,267.2024,9011,11483,10.66825729,5.346981967,16.99166667,1502,76,1.925,1013.316667,1653.6,0,0,117.3,31.7833333333333,27
"合肥",2017,0,7003.05,8.5,6351.43,797,43.07,8284,82.8356,144.9,296.0923,9379,13599,6.712098648,5.123957866,17.09166667,951.9,74.58333333,1.854166667,1013.7925,1675.8,0,0,117.3,31.7833333333333,27
"福州",2014,0,5169.1647,10.1,4388.62,743,42.92,12700,75.9891,74.193132,378.4,56385,105712,9.111023027,3.953840181,20.75833333,1628,72.41666667,2.2,1005.075,1591.7,0,1,119.283333333333,26.0833333333333,84
"福州",2015,0,5618.0844,9.6,4853.61,750,43.41,12729,78.0001,83.255575,360.09,55370,90911,9.66628609,4.73583144,20.68333333,1778.2,75.58333333,2.191666667,1005.391667,1319,0,1,119.283333333333,26.0833333333333,84
"福州",2016,0,6197.6395,8.5,5184.36,757,43.87,10152,77.6077,92.797788,409.33,39196,67548,4.861639464,1.35523578,21,2263.4,77.33333333,2.2275,1005.016667,1287.2,0,1,119.283333333333,26.0833333333333,84
