year,province,gdp,capital,labor,edu
1992,湖北,351.54,427.92,2561.9,7.129
1993,湖北,397.366,484.68,2587,7.239
1994,湖北,451.795,569.01,2639.9,7.457
1995,湖北,511.39,672.41,2689.9,7.567
1996,湖北,570.466,807.42,2699.65,7.676
1997,湖北,638.393,960.39,2700.5,7.942
1998,湖北,693.477,1134.75,2662.5,7.989
1999,湖北,747.265,1309.85,2594.356,7.914
2000,湖北,811.426,1494.81,2540.116,8.181
2001,湖北,883.346,1690.05,2480.14,8.592
2002,湖北,964.772,1889.75,2459.98,7.787
2003,湖北,1058.484,2092.58,2502.383,8.274
2004,湖北,1177.086,2342.87,2562.91,8.496
2005,湖北,1319.514,2651.88,2632.407,8.277
2006,湖北,1493.689,3063.39,2712.68,8.49
2007,湖北,1711.768,3559.958,2756.061,8.555
2008,湖北,1941.145,4104.509,2819.305,8.664
2009,湖北,2203.199,4819.92,2950.032,8.8
2010,湖北,2529.273,4311.273,3070.498,9.105
1990,湖南,264.581,455.599,3148.65,6.836
1991,湖南,285.483,473.656,3216.35,7.03
1992,湖南,317.172,504.759,3280.15,7.127
1993,湖南,356.501,551.714,3334.9,7.224
1994,湖南,394.291,606.409,3400.6,7.419
1995,湖南,434.902,671.808,3473.15,7.516
1996,湖南,487.526,762.345,3526.75,7.613
1997,湖南,539.203,851.332,3569.05,7.848
1998,湖南,585.036,954.549,3544.6,7.858
1999,湖南,634.179,1071.412,3497.283,8.05
2000,湖南,691.255,1199.608,3479.104,8.217
2001,湖南,753.468,1345.931,3450.487,8.447
2002,湖南,821.28,1508.441,3453.765,8.403
2003,湖南,900.123,1695.304,3492.295,8.535
2004,湖南,1009.038,1919.093,3557.755,8.651
2005,湖南,1132.14,2176.096,3628.963,8.506
2006,湖南,1277.054,2488.998,3698.352,8.435
2007,湖南,1468.612,2874.116,3743.873,8.602
2008,湖南,1672.749,3391.106,3780.162,8.696
2009,湖南,1901.916,4034.536,3859.339,8.817
2010,湖南,2179.596,3608.037,3957.724,9.191
1990,广东,465.618,973.82,3167.45,6.968
1991,广东,547.933,1109.64,3270.65,7.166
1992,广东,669.101,1328.82,3360.95,7.264
1993,广东,822.882,1663.7,3438.5,7.363
1994,广东,985.034,2060.38,3524.55,7.561
1995,广东,1138.217,2519.54,3612.95,7.659
1996,广东,1266.485,2944.82,3673.75,7.758
1997,广东,1408.237,3342.43,3737.5,8.42
1998,广东,1560.363,3829.73,3760.85,8.492
1999,广东,1718.332,4415.57,3748.962,8.547
2000,广东,1915.388,4992.5,3810.753,8.601
2001,广东,2116.293,5627.14,3911.924,8.614
2002,广东,2378.144,6376.6,3964.783,9.01
2003,广东,2731.175,7321.24,4043.105,8.959
2004,广东,3135.09,8351.36,4217.733,9.069
2005,广东,3578.078,9678.57,4509.028,9.187
2006,广东,4107.633,11162.72,4889.299,9.154
2007,广东,4719.671,12852.582,5184.671,9.338
2008,广东,5210.517,14527.253,5385.423,9.431
2009,广东,5715.937,16855.982,5560.672,9.39
2010,广东,6424.713,15009.237,5710.134,9.755
1990,广西,154.889,200.2,2077.45,6.569
1991,广西,174.606,205.07,2139.65,6.765
1992,广西,206.587,219.01,2194.1,6.862
1993,广西,244.336,266.37,2247.2,6.96
1994,广西,281.532,324.61,2306.7,7.156
1995,广西,313.509,382.58,2359.45,7.254
1996,广西,339.634,443.83,2399.65,7.352
1997,广西,366.964,498.88,2434.6,7.291
1998,广西,403.661,564.6,2461.65,7.465
1999,广西,435.954,640.45,2476.176,7.458
2000,广西,470.394,715.01,2505.941,7.805
2001,广西,509.437,792.26,2536.929,8.198
2002,广西,563.437,883.13,2556.964,8.097
2003,广西,620.908,991.59,2585.933,8.309
2004,广西,694.175,1139.69,2625.239,8.611
2005,广西,785.112,1346.61,2676.084,8.271
2006,广西,891.887,1623.83,2727.428,8.427
2007,广西,1026.562,1979.982,2755.707,8.443
2008,广西,1157.962,2385.63,2783.385,8.453
2009,广西,1318.918,3112.719,2834.892,8.522
2010,广西,1506.205,2806.138,2903.983,8.809
1990,海南,30.76,55.6,300.65,6.821
1991,海南,35.343,64.78,309.9,7.01
1992,海南,50.01,124.23,318.65,7.105
1993,海南,60.312,169.94,320.6,7.2
1994,海南,67.127,228.42,327.75,7.389
1995,海南,69.678,221.27,335.4,7.483
1996,海南,72.953,191.82,335.15,7.578
1997,海南,77.914,186.56,332.95,8.152
1998,海南,84.536,199.69,325.85,8.026
1999,海南,91.722,216.49,323.509,8.11
2000,海南,99.977,226.15,329.947,8.137
2001,海南,109.075,238.85,336.693,8.356
2002,海南,119.546,260.76,340.705,8.732
2003,海南,132.218,303.45,347.743,8.985
2004,海南,146.365,353.02,360.159,9.196
2005,海南,161.734,411.82,372.127,8.813
2006,海南,183.082,479.84,387.961,8.706
2007,海南,212.009,417.537,406.505,8.725
2008,海南,233.846,463.188,413.451,8.876
2009,海南,261.206,525.536,421.77,8.877
2010,海南,302.999,489.737,438.586,9.304
